"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_PARI_AU","A_PARI","AU",2011
"A_WHEA_AU","A_WHEA","AU",2011
"A_OCER_AU","A_OCER","AU",2011
"A_FVEG_AU","A_FVEG","AU",2011
"A_OILS_AU","A_OILS","AU",2011
"A_SUGB_AU","A_SUGB","AU",2011
"A_FIBR_AU","A_FIBR","AU",2011
"A_OTCR_AU","A_OTCR","AU",2011
"A_CATL_AU","A_CATL","AU",2011
"A_PIGS_AU","A_PIGS","AU",2011
"A_PLTR_AU","A_PLTR","AU",2011
"A_OMEA_AU","A_OMEA","AU",2011
"A_OANP_AU","A_OANP","AU",2011
"A_MILK_AU","A_MILK","AU",2011
"A_WOOL_AU","A_WOOL","AU",2011
"A_FORE_AU","A_FORE","AU",2011
"A_FISH_AU","A_FISH","AU",2011
"A_COAL_AU","A_COAL","AU",2011
"A_COIL_AU","A_COIL","AU",2011
"A_GASE_AU","A_GASE","AU",2011
"A_ORAN_AU","A_ORAN","AU",2011
"A_IRON_AU","A_IRON","AU",2011
"A_COPO_AU","A_COPO","AU",2011
"A_NIKO_AU","A_NIKO","AU",2011
"A_ALUO_AU","A_ALUO","AU",2011
"A_PREO_AU","A_PREO","AU",2011
"A_LZTO_AU","A_LZTO","AU",2011
"A_ONFO_AU","A_ONFO","AU",2011
"A_STON_AU","A_STON","AU",2011
"A_SDCL_AU","A_SDCL","AU",2011
"A_CHMF_AU","A_CHMF","AU",2011
"A_PCAT_AU","A_PCAT","AU",2011
"A_PPIG_AU","A_PPIG","AU",2011
"A_PPLT_AU","A_PPLT","AU",2011
"A_POME_AU","A_POME","AU",2011
"A_VOIL_AU","A_VOIL","AU",2011
"A_DAIR_AU","A_DAIR","AU",2011
"A_RICE_AU","A_RICE","AU",2011
"A_SUGR_AU","A_SUGR","AU",2011
"A_OFOD_AU","A_OFOD","AU",2011
"A_BEVR_AU","A_BEVR","AU",2011
"A_FSHP_AU","A_FSHP","AU",2011
"A_TOBC_AU","A_TOBC","AU",2011
"A_TEXT_AU","A_TEXT","AU",2011
"A_GARM_AU","A_GARM","AU",2011
"A_LETH_AU","A_LETH","AU",2011
"A_WOOD_AU","A_WOOD","AU",2011
"A_WOOW_AU","A_WOOW","AU",2011
"A_PULP_AU","A_PULP","AU",2011
"A_PAPR_AU","A_PAPR","AU",2011
"A_PAPE_AU","A_PAPE","AU",2011
"A_MDIA_AU","A_MDIA","AU",2011
"A_COKE_AU","A_COKE","AU",2011
"A_REFN_AU","A_REFN","AU",2011
"A_PLAS_AU","A_PLAS","AU",2011
"A_PLAW_AU","A_PLAW","AU",2011
"A_NFER_AU","A_NFER","AU",2011
"A_PFER_AU","A_PFER","AU",2011
"A_CHEM_AU","A_CHEM","AU",2011
"A_RUBP_AU","A_RUBP","AU",2011
"A_GLAS_AU","A_GLAS","AU",2011
"A_GLAW_AU","A_GLAW","AU",2011
"A_CRMC_AU","A_CRMC","AU",2011
"A_BRIK_AU","A_BRIK","AU",2011
"A_CMNT_AU","A_CMNT","AU",2011
"A_ONMM_AU","A_ONMM","AU",2011
"A_STEL_AU","A_STEL","AU",2011
"A_STEW_AU","A_STEW","AU",2011
"A_PREM_AU","A_PREM","AU",2011
"A_PREW_AU","A_PREW","AU",2011
"A_ALUM_AU","A_ALUM","AU",2011
"A_ALUW_AU","A_ALUW","AU",2011
"A_LZTP_AU","A_LZTP","AU",2011
"A_LZTW_AU","A_LZTW","AU",2011
"A_COPP_AU","A_COPP","AU",2011
"A_ONFM_AU","A_ONFM","AU",2011
"A_ONFW_AU","A_ONFW","AU",2011
"A_METC_AU","A_METC","AU",2011
"A_FABM_AU","A_FABM","AU",2011
"A_MACH_AU","A_MACH","AU",2011
"A_OFMA_AU","A_OFMA","AU",2011
"A_ELMA_AU","A_ELMA","AU",2011
"A_RATV_AU","A_RATV","AU",2011
"A_MEIN_AU","A_MEIN","AU",2011
"A_MOTO_AU","A_MOTO","AU",2011
"A_OTRE_AU","A_OTRE","AU",2011
"A_FURN_AU","A_FURN","AU",2011
"A_RYMS_AU","A_RYMS","AU",2011
"A_POWC_AU","A_POWC","AU",2011
"A_POWG_AU","A_POWG","AU",2011
"A_POWH_AU","A_POWH","AU",2011
"A_POWW_AU","A_POWW","AU",2011
"A_POWP_AU","A_POWP","AU",2011
"A_POWB_AU","A_POWB","AU",2011
